PN	Section	Features	Grade	Params_preview
3PA1030	高速模数转换器（ADC）	ADC 工业级	工业级	Part Number: 3PA1030 | Status: Production | Rating: Industrial | Resolution: 10 | Update Rate (MSPS): 50 | CH: 1 | Interface: Parallel | VIN (V): 0~2 | DNL (LSB): 0.3 | SINAD (dB): 56.5 | VDD (V): 2.7~5.5 | Power (mW): 84 | Datum: Internal | Package: TSSOP28
3PA9280	高速模数转换器（ADC）	ADC 工业级	工业级	Part Number: 3PA9280 | Status: Production | Rating: Industrial | Resolution: 8 | Update Rate (MSPS): 32 | CH: 1 | Interface: Parallel | VIN (V): 0~2 | DNL (LSB): 0.2 | SINAD (dB): 49 | VDD (V): 2.7~5.5 | Power (mW): 85 | Datum: Internal | Package: SSOP28
3PD5651E	高速数模转换器（DAC）	DAC 工业级	工业级	Part Number: 3PD5651E | Status: Production | Rating: Industrial | CH: 1 | Resolution: 10 | Update Rate (MSPS): 125 | Interface: Parallel | Output: 2mA - 20mA | SNR (dB): 52 | VDD (V): 2.7 - 5.5 | Reference: Internal/External | Package: TSSOP28
3PD9708E	高速数模转换器（DAC）	DAC 工业级	工业级	Part Number: 3PD9708E | Status: Production | Rating: Industrial | CH: 1 | Resolution: 8 | Update Rate (MSPS): 125 | Interface: Parallel | Output: 2mA - 20mA | SNR (dB): 50 | VDD (V): 2.7 - 5.5 | Reference: Internal/External | Package: TSSOP28
CM1003-CED	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-CED | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.55 | Overcharge release voltage(V): 4.35 | Overdischarge detection voltage(V): 2.5 | Overdischarge release voltage(V): 2.7 | Discharge overcurrent detection voltage(V): 0.06 | Load short- circuiti
CM1003-CHE	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-CHE | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.6 | Overcharge release voltage(V): 4.35 | Overdischarge detection voltage(V): 2.6 | Overdischarge release voltage(V): 2.6 | Discharge overcurrent detection voltage(V): 0.05 | Load short- circuitin
CM1003-CKD	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-CKD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.495 | Overcharge release voltage(V): 4.295 | Overdischarge detection voltage(V): 2.52 | Overdischarge release voltage(V): 2.7 | Discharge overcurrent detection voltage(V): 0.045 | Load short- circ
CM1003-CLD	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-CLD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.55 | Overcharge release voltage(V): 4.25 | Overdischarge detection voltage(V): 2.33 | Overdischarge release voltage(V): 2.5 | Discharge overcurrent detection voltage(V): 0.075 | Load short- circui
CM1003-CLE	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-CLE | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.625 | Overcharge release voltage(V): 4.425 | Overdischarge detection voltage(V): 2.5 | Overdischarge release voltage(V): 2.5 | Discharge overcurrent detection voltage(V): 0.05 | Load short- circui
CM1003-CME	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-CME | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.655 | Overcharge release voltage(V): 4.455 | Overdischarge detection voltage(V): 2.7 | Overdischarge release voltage(V): 2.7 | Discharge overcurrent detection voltage(V): 0.05 | Load short- circui
CM1003-CNE	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-CNE | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.655 | Overcharge release voltage(V): 4.455 | Overdischarge detection voltage(V): 2.7 | Overdischarge release voltage(V): 2.7 | Discharge overcurrent detection voltage(V): 0.035 | Load short- circu
CM1003-CRD	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-CRD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.425 | Overcharge release voltage(V): 4.225 | Overdischarge detection voltage(V): 2.51 | Overdischarge release voltage(V): 3 | Discharge overcurrent detection voltage(V): 0.175 | Load short- circui
CM1003-CWD	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-CWD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.475 | Overcharge release voltage(V): 4.275 | Overdischarge detection voltage(V): 2.5 | Overdischarge release voltage(V): 2.9 | Discharge overcurrent detection voltage(V): 0.13 | Load short- circui
CM1003-DAD	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-DAD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.475 | Overcharge release voltage(V): 4.275 | Overdischarge detection voltage(V): 2.8 | Overdischarge release voltage(V): 3 | Discharge overcurrent detection voltage(V): 0.05 | Load short- circuiti
CM1003-DBD	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-DBD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.555 | Overcharge release voltage(V): 4.355 | Overdischarge detection voltage(V): 2.49 | Overdischarge release voltage(V): 2.9 | Discharge overcurrent detection voltage(V): 0.085 | Load short- circ
CM1003-DHD	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-DHD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.5 | Overcharge release voltage(V): 4.3 | Overdischarge detection voltage(V): 2.5 | Overdischarge release voltage(V): 2.9 | Discharge overcurrent detection voltage(V): 0.1 | Load short- circuiting 
CM1003-DMD	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-DMD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.475 | Overcharge release voltage(V): 4.275 | Overdischarge detection voltage(V): 2.5 | Overdischarge release voltage(V): 2.9 | Discharge overcurrent detection voltage(V): 0.045 | Load short- circu
CM1003-DSD	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-DSD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.425 | Overcharge release voltage(V): 4.225 | Overdischarge detection voltage(V): 2.82 | Overdischarge release voltage(V): 3 | Discharge overcurrent detection voltage(V): 0.13 | Load short- circuit
CM1003-GBD	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-GBD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.275 | Overcharge release voltage(V): 4.075 | Overdischarge detection voltage(V): 2.8 | Overdischarge release voltage(V): 3 | Discharge overcurrent detection voltage(V): 0.15 | Load short- circuiti
CM1003-GDD	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-GDD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.475 | Overcharge release voltage(V): 4.275 | Overdischarge detection voltage(V): 2.55 | Overdischarge release voltage(V): 2.8 | Discharge overcurrent detection voltage(V): 0.13 | Load short- circu
CM1003-LCD	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-LCD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.475 | Overcharge release voltage(V): 4.275 | Overdischarge detection voltage(V): 2.5 | Overdischarge release voltage(V): 3 | Discharge overcurrent detection voltage(V): 0.1 | Load short- circuitin
CM1003-S02BD	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-S02BD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.28 | Overcharge release voltage(V): 4.08 | Overdischarge detection voltage(V): 3 | Overdischarge release voltage(V): 3 | Discharge overcurrent detection voltage(V): 0.08 | Load short- circuiting
CM1003-S07EA	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-S07EA | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.425 | Overcharge release voltage(V): 4.225 | Overdischarge detection voltage(V): 2.5 | Overdischarge release voltage(V): 2.9 | Discharge overcurrent detection voltage(V): 0.175 | Load short- cir
CM1003-S08CD	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-S08CD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.325 | Overcharge release voltage(V): 4.125 | Overdischarge detection voltage(V): 2.5 | Overdischarge release voltage(V): 2.8 | Discharge overcurrent detection voltage(V): 0.15 | Load short- circ
CM1003-S10ED	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-S10ED | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.28 | Overcharge release voltage(V): 4.18 | Overdischarge detection voltage(V): 3 | Overdischarge release voltage(V): 3 | Discharge overcurrent detection voltage(V): 0.18 | Load short- circuiting
CM1003-S11ED	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-S11ED | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.4 | Overcharge release voltage(V): 4.35 | Overdischarge detection voltage(V): 3 | Overdischarge release voltage(V): 3.2 | Discharge overcurrent detection voltage(V): 0.25 | Load short- circuitin
CM1003-S13CC	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-S13CC | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.25 | Overcharge release voltage(V): 4.2 | Overdischarge detection voltage(V): 2.8 | Overdischarge release voltage(V): 3 | Discharge overcurrent detection voltage(V): 0.15 | Load short- circuitin
CM1003-SBD	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-SBD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.475 | Overcharge release voltage(V): 4.275 | Overdischarge detection voltage(V): 2.76 | Overdischarge release voltage(V): 3 | Discharge overcurrent detection voltage(V): 0.15 | Load short- circuit
CM1003-SBE	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-SBE | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.17 | Overcharge release voltage(V): 3.97 | Overdischarge detection voltage(V): 2.5 | Overdischarge release voltage(V): 2.9 | Discharge overcurrent detection voltage(V): 0.15 | Load short- circuiti
CM1003-SBR	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-SBR | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.275 | Overcharge release voltage(V): 4.075 | Overdischarge detection voltage(V): 2.5 | Overdischarge release voltage(V): 2.9 | Discharge overcurrent detection voltage(V): 0.08 | Load short- circui
CM1003-SCF	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-SCF | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.425 | Overcharge release voltage(V): 4.225 | Overdischarge detection voltage(V): 2.3 | Overdischarge release voltage(V): 2.5 | Discharge overcurrent detection voltage(V): 0.25 | Load short- circui
CM1003-SCG	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-SCG | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.325 | Overcharge release voltage(V): 4.125 | Overdischarge detection voltage(V): 2.5 | Overdischarge release voltage(V): 2.8 | Discharge overcurrent detection voltage(V): 0.15 | Load short- circui
CM1003-SDZ	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-SDZ | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.275 | Overcharge release voltage(V): 4.075 | Overdischarge detection voltage(V): 2.5 | Overdischarge release voltage(V): 2.9 | Discharge overcurrent detection voltage(V): 0.15 | Load short- circui
CM1003-WAD	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-WAD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.425 | Overcharge release voltage(V): 4.225 | Overdischarge detection voltage(V): 2.8 | Overdischarge release voltage(V): 3 | Discharge overcurrent detection voltage(V): 0.05 | Load short- circuiti
CM1003-Z	1节-检测MOS	工业级 BMS	工业级	Part Number: CM1003-Z | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.275 | Overcharge release voltage(V): 4.075 | Overdischarge detection voltage(V): 2.5 | Overdischarge release voltage(V): 2.9 | Discharge overcurrent detection voltage(V): 0.15 | Load short- circuiti
CM1004-BCD	1节-检测Rsense	工业级 BMS	工业级	Part Number: CM1004-BCD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.525 | Overcharge release voltage(V): 4.375 | Overdischarge detection voltage(V): 2.35 | Overdischarge release voltage(V): 2.55 | Discharge overcurrent detection voltage(V): 0.0105 | Load short- ci
CM1004-BDD	1节-检测Rsense	工业级 BMS	工业级	Part Number: CM1004-BDD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.575 | Overcharge release voltage(V): 4.375 | Overdischarge detection voltage(V): 2.1 | Overdischarge release voltage(V): 2.3 | Discharge overcurrent detection voltage(V): 0.0105 | Load short- circ
CM1004-BJD	1节-检测Rsense	工业级 BMS	工业级	Part Number: CM1004-BJD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.425 | Overcharge release voltage(V): 4.225 | Overdischarge detection voltage(V): 2.36 | Overdischarge release voltage(V): 2.56 | Discharge overcurrent detection voltage(V): 0.011 | Load short- cir
CM1004-BKD	1节-检测Rsense	工业级 BMS	工业级	Part Number: CM1004-BKD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.53 | Overcharge release voltage(V): 4.33 | Overdischarge detection voltage(V): 2.35 | Overdischarge release voltage(V): 2.55 | Discharge overcurrent detection voltage(V): 0.021 | Load short- circu
CM1004-BLD	1节-检测Rsense	工业级 BMS	工业级	Part Number: CM1004-BLD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.57 | Overcharge release voltage(V): 4.37 | Overdischarge detection voltage(V): 2.08 | Overdischarge release voltage(V): 2.3 | Discharge overcurrent detection voltage(V): 0.021 | Load short- circui
CM1004-BMD	1节-检测Rsense	工业级 BMS	工业级	Part Number: CM1004-BMD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.475 | Overcharge release voltage(V): 4.275 | Overdischarge detection voltage(V): 2.5 | Overdischarge release voltage(V): 2.9 | Discharge overcurrent detection voltage(V): 0.021 | Load short- circu
CM1004-BND	1节-检测Rsense	工业级 BMS	工业级	Part Number: CM1004-BND | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.52 | Overcharge release voltage(V): 4.32 | Overdischarge detection voltage(V): 2.1 | Overdischarge release voltage(V): 2.3 | Discharge overcurrent detection voltage(V): 0.021 | Load short- circuit
CM1004-BSD	1节-检测Rsense	工业级 BMS	工业级	Part Number: CM1004-BSD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.58 | Overcharge release voltage(V): 4.43 | Overdischarge detection voltage(V): 2.3 | Overdischarge release voltage(V): 2.5 | Discharge overcurrent detection voltage(V): 0.015 | Load short- circuit
CM1004-CCD	1节-检测Rsense	工业级 BMS	工业级	Part Number: CM1004-CCD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.58 | Overcharge release voltage(V): 4.38 | Overdischarge detection voltage(V): 2.35 | Overdischarge release voltage(V): 2.55 | Discharge overcurrent detection voltage(V): 0.0105 | Load short- circ
CM1004-CDD	1节-检测Rsense	工业级 BMS	工业级	Part Number: CM1004-CDD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.6 | Overcharge release voltage(V): 4.4 | Overdischarge detection voltage(V): 2.1 | Overdischarge release voltage(V): 2.3 | Discharge overcurrent detection voltage(V): 0.0105 | Load short- circuiti
CM1004-CMD	1节-检测Rsense	工业级 BMS	工业级	Part Number: CM1004-CMD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.475 | Overcharge release voltage(V): 4.275 | Overdischarge detection voltage(V): 2.5 | Overdischarge release voltage(V): 2.9 | Discharge overcurrent detection voltage(V): 0.021 | Load short- circu
CM1004-CPD	1节-检测Rsense	工业级 BMS	工业级	Part Number: CM1004-CPD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.495 | Overcharge release voltage(V): 4.295 | Overdischarge detection voltage(V): 2.48 | Overdischarge release voltage(V): 2.9 | Discharge overcurrent detection voltage(V): 0.014 | Load short- circ
CM1004-CQD	1节-检测Rsense	工业级 BMS	工业级	Part Number: CM1004-CQD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.54 | Overcharge release voltage(V): 4.34 | Overdischarge detection voltage(V): 2.3 | Overdischarge release voltage(V): 2.5 | Discharge overcurrent detection voltage(V): 0.014 | Load short- circuit
CM1004-CRD	1节-检测Rsense	工业级 BMS	工业级	Part Number: CM1004-CRD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.555 | Overcharge release voltage(V): 4.405 | Overdischarge detection voltage(V): 2.59 | Overdischarge release voltage(V): 2.8 | Discharge overcurrent detection voltage(V): 0.015 | Load short- circ
CM1004-CSD	1节-检测Rsense	工业级 BMS	工业级	Part Number: CM1004-CSD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.58 | Overcharge release voltage(V): 4.43 | Overdischarge detection voltage(V): 2.3 | Overdischarge release voltage(V): 2.5 | Discharge overcurrent detection voltage(V): 0.015 | Load short- circuit
CM1004-CTD	1节-检测Rsense	工业级 BMS	工业级	Part Number: CM1004-CTD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.53 | Overcharge release voltage(V): 4.33 | Overdischarge detection voltage(V): 2.35 | Overdischarge release voltage(V): 2.55 | Discharge overcurrent detection voltage(V): 0.007 | Load short- circu
CM1004-CUD	1节-检测Rsense	工业级 BMS	工业级	Part Number: CM1004-CUD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.55 | Overcharge release voltage(V): 4.35 | Overdischarge detection voltage(V): 2.12 | Overdischarge release voltage(V): 2.31 | Discharge overcurrent detection voltage(V): 0.007 | Load short- circu
CM1004-ECD	1节-检测Rsense	工业级 BMS	工业级	Part Number: CM1004-ECD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.6 | Overcharge release voltage(V): 4.4 | Overdischarge detection voltage(V): 2.5 | Overdischarge release voltage(V): 2.7 | Discharge overcurrent detection voltage(V): 0.0105 | Load short- circuiti
CM1004-EDD	1节-检测Rsense	工业级 BMS	工业级	Part Number: CM1004-EDD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.62 | Overcharge release voltage(V): 4.42 | Overdischarge detection voltage(V): 2.3 | Overdischarge release voltage(V): 2.5 | Discharge overcurrent detection voltage(V): 0.0105 | Load short- circui
CM1010-A	电池均衡IC	工业级 BMS	工业级	Part Number: CM1010-A | Status: Production | Rating: Industrial | Balancing Start-up Voltage(V): 4.2 | Balancing Recovery Voltage: 4.19 | Balancing Start-up Delay Time(mS): 250 | Standby voltage(V): 2.7 | Output logic: Dynamics“H” | Package: SOT23-6
CM1010-B	电池均衡IC	工业级 BMS	工业级	Part Number: CM1010-B | Status: Production | Rating: Industrial | Balancing Start-up Voltage(V): 3.6 | Balancing Recovery Voltage: 3.59 | Balancing Start-up Delay Time(mS): 250 | Standby voltage(V): 2.7 | Output logic: Dynamics“H” | Package: SOT23-6
CM1010-C	电池均衡IC	工业级 BMS	工业级	Part Number: CM1010-C | Status: Production | Rating: Industrial | Balancing Start-up Voltage(V): 3.4 | Balancing Recovery Voltage: 3.39 | Balancing Start-up Delay Time(mS): 250 | Standby voltage(V): 2.7 | Output logic: Dynamics“H” | Package: SOT23-6
CM1010-E	电池均衡IC	工业级 BMS	工业级	Part Number: CM1010-E | Status: Production | Rating: Industrial | Balancing Start-up Voltage(V): 4.35 | Balancing Recovery Voltage: 4.34 | Balancing Start-up Delay Time(mS): 250 | Standby voltage(V): 2.7 | Output logic: Dynamics“H” | Package: SOT23-6
CM1010-F	电池均衡IC	工业级 BMS	工业级	Part Number: CM1010-F | Status: Production | Rating: Industrial | Balancing Start-up Voltage(V): 4 | Balancing Recovery Voltage: 3.99 | Balancing Start-up Delay Time(mS): 250 | Standby voltage(V): 2.7 | Output logic: Dynamics“H” | Package: SOT23-6
CM1010-G	电池均衡IC	工业级 BMS	工业级	Part Number: CM1010-G | Status: Production | Rating: Industrial | Balancing Start-up Voltage(V): 3.675 | Balancing Recovery Voltage: 3.665 | Balancing Start-up Delay Time(mS): 250 | Standby voltage(V): 2.7 | Output logic: Dynamics“H” | Package: SOT23-6
CM1010-H	电池均衡IC	工业级 BMS	工业级	Part Number: CM1010-H | Status: Production | Rating: Industrial | Balancing Start-up Voltage(V): 4.3 | Balancing Recovery Voltage: 4.29 | Balancing Start-up Delay Time(mS): 250 | Standby voltage(V): 2.7 | Output logic: Dynamics“H” | Package: SOT23-6
CM1010-K	电池均衡IC	工业级 BMS	工业级	Part Number: CM1010-K | Status: Production | Rating: Industrial | Balancing Start-up Voltage(V): 4.25 | Balancing Recovery Voltage: 4.24 | Balancing Start-up Delay Time(mS): 250 | Standby voltage(V): 2.7 | Output logic: Dynamics“H” | Package: SOT23-6
CM1010-L	电池均衡IC	工业级 BMS	工业级	Part Number: CM1010-L | Status: Production | Rating: Industrial | Balancing Start-up Voltage(V): 4.15 | Balancing Recovery Voltage: 4.14 | Balancing Start-up Delay Time(mS): 250 | Standby voltage(V): 2.7 | Output logic: Dynamics“H” | Package: SOT23-6
CM1014-BBD	1节-检测Rsense	工业级 BMS	工业级	Part Number: CM1014-BBD | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.58 | Overcharge release voltage(V): 4.38 | Overdischarge detection voltage(V): 2.79 | Overdischarge release voltage(V): 3 | Discharge overcurrent detection voltage(V): 0.022 | Load short- circuiti
CM1048-AT	3~16节-全功能保护	工业级 BMS	工业级	Part Number: CM1048-AT | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.225 | Overcharge release voltage(V): 4.125 | Overdischarge detection voltage(V): 2.5 | Overdischarge release voltage(V): 3 | Discharge overcurrent detection voltage(V): 0.05 | Load short-circuiting
CM1048-BT	3~16节-全功能保护	工业级 BMS	工业级	Part Number: CM1048-BT | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.225 | Overcharge release voltage(V): 4.125 | Overdischarge detection voltage(V): 2.7 | Overdischarge release voltage(V): 3 | Discharge overcurrent detection voltage(V): 0.05 | Load short-circuiting
CM1048-DT	3~16节-全功能保护	工业级 BMS	工业级	Part Number: CM1048-DT | Status: Production | Rating: Industrial | Overcharge detection voltage (V): 4.25 | Overcharge release voltage(V): 4.15 | Overdischarge detection voltage(V): 2.7 | Overdischarge release voltage(V): 3 | Discharge overcurrent detection voltage(V): 0.05 | Load short-circuiting d
