tag	count	type	in_prompt	in_parser	in_semantic	in_ui_badge	in_constrained_categories	in_whitelist	in_validate	vendors	sections	example_vendor	example_pn	example_section
工业级	1156	语义证据tag	True	False	True	False	False	True	False	3peak-analog:769;novosense:299;3peak-auto:62;yutai:26	低压运算放大器(Vs＜10V):92;高压运算放大器(Vs＞10V):57;隔离栅极驱动:51;比较器:43;宽压降压变换器:43;3~16节-全功能保护:39;低压LDO:33;数字隔离器选型表:32	3peak-analog	LM2902A	高压运算放大器(Vs＞10V)
车规AEC-Q100	984	语义证据tag	True	False	True	False	False	True	False	novosense:656;3peak-auto:198;3peak-analog:125;yutai:5	隔离栅极驱动:185;霍尔开关/ 锁存器选型表:91;CAN 收发器:49;数字隔离器选型表:30;线性位置传感器选型表:28;DC-DC 开关变换器选型表:28;智能高边开关选型表:27;升压变换器:25	3peak-analog	TPA1861Q	高压运算放大器(Vs＞10V)
隔离	408	品类/等级/结构tag	True	True	False	False	True	True	False	novosense:338;3peak-analog:49;3peak-auto:21	隔离栅极驱动:212;数字隔离器选型表:62;集成式电流传感器选型表:30;数字隔离器:29;隔离放大器和调制器:11;集成隔离电源的隔离CAN 选型表:10;隔离CAN:9;隔离电源:7	3peak-analog	TPA8000	隔离放大器和调制器
栅极驱动	289	品类/等级/结构tag	True	True	False	True	False	True	True	novosense:252;3peak-analog:27;3peak-auto:10	隔离栅极驱动:236;非隔离栅极驱动:52;磁通门传感器调理芯片选型表:1	3peak-analog	TPM21520	隔离栅极驱动
运放	252	品类/等级/结构tag	True	True	False	True	False	True	True	3peak-analog:164;novosense:51;3peak-auto:37	低压运算放大器(Vs＜10V):100;高压运算放大器(Vs＞10V):62;高压通用运算放大器选型表:27;低压通用运算放大器选型表:22;高压运算放大器:17;零漂运算放大器:7;微功耗放大器:5;低压运算放大器:5	3peak-analog	LM2902A	高压运算放大器(Vs＞10V)
隔离栅极驱动	236	品类/等级/结构tag	True	True	False	True	False	True	True	novosense:223;3peak-analog:9;3peak-auto:4	隔离栅极驱动:236	3peak-analog	TPM21520	隔离栅极驱动
5kVrms隔离	163	品类/等级/结构tag	True	False	False	False	False	False	False	novosense:163	隔离栅极驱动:122;集成式电流传感器选型表:23;数字隔离器选型表:12;隔离CAN:6	novosense	NSM2011	集成式电流传感器选型表
DCDC	141	品类/等级/结构tag	True	True	False	True	False	True	True	3peak-analog:77;novosense:45;3peak-auto:19	宽压降压变换器:53;DC-DC 开关变换器选型表:35;升压变换器:25;降压变换器:10;Boost 控制器选型表:10;中压降压变换器:4;低压降压变换器:4	3peak-analog	TPP00031	宽压降压变换器
BMS	137	品类/等级/结构tag	True	True	False	True	False	True	True	3peak-analog:136;3peak-auto:1	3~16节-全功能保护:39;1节-检测MOS:31;1节-复合IC:23;1节-检测Rsense:20;2~16节-次级保护:10;电池均衡IC:9;电池监控:5	3peak-analog	TPB76016	电池监控
LDO	108	品类/等级/结构tag	True	True	False	True	False	True	True	3peak-analog:49;3peak-auto:34;novosense:25	低压LDO:35;高压LDO:25;LDO 线性稳压器选型表:25;高压 LDO:23	3peak-analog	TPL5031	低压LDO
3kVrms隔离	92	品类/等级/结构tag	True	False	False	False	False	False	False	novosense:92	隔离栅极驱动:69;数字隔离器选型表:15;集成式电流传感器选型表:7;隔离CAN:1	novosense	NSM2012	集成式电流传感器选型表
数字隔离器	91	品类/等级/结构tag	True	True	False	True	False	True	True	novosense:62;3peak-auto:15;3peak-analog:14	数字隔离器选型表:62;数字隔离器:29	3peak-analog	TPT7621	数字隔离器
霍尔开关/锁存器	91	品类/等级/结构tag	True	True	False	True	False	False	True	novosense:91	霍尔开关/ 锁存器选型表:91	novosense	NSM1011-A-Q0	霍尔开关/ 锁存器选型表
降压	71	品类/等级/结构tag	True	True	False	True	False	True	True	3peak-analog:61;3peak-auto:10	宽压降压变换器:53;降压变换器:10;中压降压变换器:4;低压降压变换器:4	3peak-analog	TPP00031	宽压降压变换器
CAN-FD	67	品类/等级/结构tag	True	True	False	True	False	True	True	3peak-auto:31;3peak-analog:29;novosense:7	CAN 收发器:58;CAN 收发器选型表:7;隔离CAN:2	3peak-analog	TPT1042	CAN 收发器
比较器	65	品类/等级/结构tag	True	True	False	True	True	True	True	3peak-analog:42;3peak-auto:12;novosense:11	比较器:54;比较器选型表:9;隔离比较器选型表:2	3peak-analog	LM211	比较器
以太网	64	品类/等级/结构tag	True	True	False	False	True	True	True	yutai:64	92系列 / 交换机:24;85系列/phy系列:22;88系列PHY:6;80系列/车规:4;85/86系列/多口Phy:4;68系列网卡:3;81系列/phy系列:1	yutai	YT8010A	80系列/车规
